,User,Played Game,Game Recommended,Year,Cluster,Score,Weighted Score,Total Ratings
0,126340495,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,99189757,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,11373749,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,54103616,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,163617342,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,111479516,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,180331040,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,151229648,WAKFU,Dogs of War Online,2014,4,0.64,0.68,697
0,124884511,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,148928721,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,100519466,Arma 3,TT Isle of Man,2018,1,0.69,0.7,668
0,81569401,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,154210162,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,155182551,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,78332414,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,56256991,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,86338111,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,111316830,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,92914917,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,147563118,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,17649444,Mass Effect,The Witcher: Enhanced Edition Director's Cut,2008,3,0.86,0.86,30597
0,155881626,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,87821312,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,166753156,Warframe,Sven Co-op,2016,4,0.91,0.9,13384
0,128831281,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,34177747,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,34177747,Warframe,Sven Co-op,2016,4,0.91,0.9,13384
0,34177747,Terraria,Blockland,2013,3,0.72,0.72,5150
0,187678142,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,60217594,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,4064412,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,167017825,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,78799565,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,78799565,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,262861632,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,120725727,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,118894547,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,87071236,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,101487265,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,113423671,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,79411077,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,138656604,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,121360145,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,121360145,Path of Exile,Tsumi,2019,4,1.0,0.72,9
0,164271888,DayZ,Generation Zero,2019,1,0.45,0.51,3050
0,4485779,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,161444156,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,200491490,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,167360036,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,207270682,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,179001580,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,130324181,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,30036927,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,206210282,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,57798235,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,192436140,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,57433226,Garry's Mod,Blockland,2013,3,0.72,0.72,5150
0,131940023,DayZ,Generation Zero,2019,1,0.45,0.51,3050
0,126074325,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,200750585,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,193156880,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,23492094,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,194842424,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,80164199,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,198825628,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,72958745,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,86779448,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,143137329,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,199535718,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,109475164,Spiral Knights,Champions Online,2011,3,0.72,0.72,2904
0,32749624,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,236245395,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,182929175,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,120116659,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,74347105,DayZ,Generation Zero,2019,1,0.45,0.51,3050
0,138259286,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,240964291,Rust,The Dome,2017,0,0.37,0.7,35
0,203746661,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,35729292,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,216211930,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,97069030,War Thunder,Call of War,2017,4,0.5,0.59,1375
0,93578126,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,33261284,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,190754099,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,43360645,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,162319690,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,138129129,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,31733654,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,169258848,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,146449077,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,155069128,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,11403772,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,11403772,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,112459307,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,146427029,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,99077905,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,103093060,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,124763074,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,53779471,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,86912006,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,152585209,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,156879739,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,173382820,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,181700777,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,225655173,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,121900241,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,234749963,Arma 3,TT Isle of Man,2018,1,0.69,0.7,668
0,33214968,Left 4 Dead 2,Serious Sam HD: The First Encounter,2009,3,0.94,0.9,4219
0,127461395,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,263385816,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,220217607,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,148833344,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,71390526,Crusader Kings II,NOBUNAGA'S AMBITION: Sphere of Influence,2015,1,0.83,0.75,457
0,95461199,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,101248210,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,111130695,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,176929122,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,101602586,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,202287486,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,75092930,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,122679931,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,114632006,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,114632006,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,162076421,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,131217195,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,164478205,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,298950,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,261336456,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,150137344,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,132381775,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,173940259,DayZ,Generation Zero,2019,1,0.45,0.51,3050
0,162214363,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,171383863,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,157341587,Warframe,Sven Co-op,2016,4,0.91,0.9,13384
0,113444723,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,64060101,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,121352371,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,36546868,Space Engineers,Castle Story,2017,0,0.53,0.56,5072
0,104635003,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,20207081,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,69856757,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,177050329,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,141773234,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,115008799,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,141950398,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,73835640,Warframe,Sven Co-op,2016,4,0.91,0.9,13384
0,121577821,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,28711405,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,101447015,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,46637811,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,139388319,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,153945772,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,113530439,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,185390486,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,84824859,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,253549183,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,52321307,Hearts of Iron III,Darkest Hour: A Hearts of Iron Game,2011,3,0.88,0.81,1219
0,190502181,Arma 3,TT Isle of Man,2018,1,0.69,0.7,668
0,165779930,APB Reloaded,America's Army 3,2009,3,0.68,0.69,2238
0,114617787,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,3674653,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,160042745,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,60736966,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,67694595,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,63615483,APB Reloaded,America's Army 3,2009,3,0.68,0.69,2238
0,106834867,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,38049880,PlanetSide 2,Warface,2014,4,0.69,0.69,47160
0,49893565,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,49893565,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,47291376,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,158481258,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,151257543,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,151234988,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,166385573,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,178789623,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,150968058,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,166081897,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,103260848,Garry's Mod,Blockland,2013,3,0.72,0.72,5150
0,103260848,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,135091121,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,166234928,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,57271785,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,48984158,Dota 2,Games of Glory,2017,4,0.56,0.65,582
